Numero;Descricao;Umidade;Energia_kcal;Proteina;Carboidrato;Categoria
518;"Shoyu";70.6;61;3.3;11.6;"Miscelaneas"
22;"Cereais milho flocos sem sal";11.2;363;6.9;80.4;"Cereais e derivados"
234;"Maracuja suco concentrado envasado";88.9;42;0.8;9.6;"Frutas e derivados"
368;"Carne bovina maminha grelhada";65.3;153;30.7;0.0;"Carnes e derivados"
477;"Cha preto infusao 5%";99.4;2;0.0;0.6;"Bebidas (alcoolicas e nao alcoolicas)"
403;"Frango inteiro sem pele assado";63.2;187;28.0;0.0;"Carnes e derivados"
546;"Salada de legumes cozida no vapor";90.0;35;2.0;7.1;"Alimentos preparados"
265;"Margarina com oleo interesterificado com sal (65% de lipideos)";32.0;594;0.0;0.0;"Gorduras e oleos"
253;"Tucuma cru";51.3;262;2.1;26.5;"Frutas e derivados"
237;"Mexerica Murcote crua";83.7;58;0.9;14.9;"Frutas e derivados"
551;"Tapioca com manteiga";24.9;348;0.1;63.6;"Alimentos preparados"
438;"Presunto com capa de gordura";73.9;128;14.4;1.4;"Carnes e derivados"
201;"Graviola crua";82.2;62;0.8;15.8;"Frutas e derivados"
319;"Sardinha conserva em oleo";55.1;285;15.9;0.0;"Pescados e frutos do mar"
393;"Frango caipira inteiro sem pele cozido";61.4;196;29.6;0.0;"Carnes e derivados"
596;"Pupunha cozida";54.5;219;2.5;29.6;"Nozes e sementes"
587;"Amendoa torrada salgada";3.1;581;18.6;29.5;"Nozes e sementes"
595;"Pinhao cozido";50.5;174;3.0;43.9;"Nozes e sementes"
267;"Oleo de babacu";0.0;884;0.0;0.0;"Gorduras e oleos"
473;"Cana caldo de";81.7;65;0.0;18.2;"Bebidas (alcoolicas e nao alcoolicas)"
433;"Porco lombo cru";67.7;176;22.6;0.0;"Carnes e derivados"
594;"Linhaca semente";6.7;495;14.1;43.3;"Nozes e sementes"
220;"Limon tahiti cru";87.4;32;0.9;11.1;"Frutas e derivados"
536;"Dobradinha";75.3;125;19.8;0.0;"Alimentos preparados"
262;"Manteiga sem sal";13.6;758;0.4;0.0;"Gorduras e oleos"
444;"Toucinho cru";27.6;593;11.5;0.0;"Carnes e derivados"
260;"Azeite de oliva extra virgem";0.0;884;0.0;0.0;"Gorduras e oleos"
589;"Castanha-do-Brasil crua";3.5;643;14.5;15.1;"Nozes e sementes"
204;"Jaca crua";75.1;88;1.4;22.5;"Frutas e derivados"
43;"Milho fuba cru";11.5;353;7.2;78.9;"Cereais e derivados"
290;"Corimbata cozido";64.6;239;20.1;0.0;"Pescados e frutos do mar"
549;"Tabule";85.8;57;2.0;10.6;"Alimentos preparados"
18;"Bolo pronto milho";36.7;311;4.8;45.1;"Cereais e derivados"
282;"Cacao posta cozida";75.9;116;25.6;0.0;"Pescados e frutos do mar"
261;"Manteiga com sal";15.8;726;0.4;0.1;"Gorduras e oleos"
30;"Curau milho verde mistura para";3.9;402;2.2;79.8;"Cereais e derivados"
